date,NGE_all,NGE_DITM,NGE_ITM,NGE_ATM,NGE_OTM,NGE_DOTM
2022-05-19,-124131.90833970904,-184347.62731486192,-316689.4366235242,-319789.9048623601,783162.5944602492,-86467.53399921139
2022-05-20,937046.8819670379,-44106.18967280595,310002.79348790064,858522.3774798773,153022.53793534962,-340394.63726328476
2022-05-23,1554773.0800333545,-409717.6231368991,-718223.2129236344,595382.5312816529,1308305.2531346404,779026.1316775931
2022-05-24,941526.9537937213,-318353.54773282714,2051.4703423222527,562425.3925448344,186621.1464544828,508782.4921849092
2022-05-25,749272.9087100755,-398210.6280712584,-308066.6005588416,254639.14645556267,482671.90260099864,718239.0882836146
2022-05-26,890548.6843395308,-292565.07810455654,-624862.907034165,151002.21506829164,1246429.0044859666,410545.44992399414
2022-05-27,489085.92624682374,-304879.7407217183,-295856.6584781661,-122324.72670771589,527715.1938442807,684431.8583101433
2022-05-30,74453.26127176546,-305581.93541562674,-357172.24149399006,-294621.5830931,385859.3219978018,645969.6992766807
2022-05-31,-88248.70878064632,9913.327272724506,-337624.46523432585,-548660.080700438,896129.9523058266,-108007.4424244347
2022-06-01,11148.734255495481,-32616.908417144557,-259391.88553473266,-484282.6956793349,923844.7639261659,-136404.54003945924
2022-06-02,83005.8911673287,-33758.10630353395,-131921.2025171278,-107167.51965117408,720043.334797669,-364190.6151585049
